20161202 123405793,1.06747,1.06731,0
20161202 123424636,1.06745,1.06728,0
20161202 123435618,1.06743,1.06725,0
20161202 123440178,1.06745,1.06729,0
20161202 123447003,1.06742,1.06727,0
20161202 123501732,1.06745,1.06728,0
20161202 123502175,1.06742,1.06725,0
20161202 123503060,1.06742,1.06727,0
20161202 123505636,1.06737,1.06722,0
20161202 123506136,1.06737,1.06722,0
20161202 123506332,1.06732,1.06717,0
20161202 123506544,1.06735,1.06719,0
20161202 123507002,1.06733,1.06717,0
20161202 123511981,1.06735,1.06719,0
20161202 123512430,1.06733,1.06717,0
20161202 123514031,1.0673,1.06715,0
20161202 123515141,1.06734,1.06715,0
20161202 123517418,1.06736,1.0672,0
20161202 123517921,1.06738,1.06722,0
20161202 123518037,1.06744,1.06727,0
20161202 123518618,1.06744,1.06727,0
20161202 123519118,1.06741,1.06725,0
20161202 123523920,1.06744,1.06728,0
20161202 123529069,1.06741,1.06725,0
20161202 123539319,1.06739,1.06723,0
20161202 123539848,1.06736,1.06721,0
20161202 123600924,1.06742,1.06724,0
20161202 123604373,1.06738,1.06723,0
20161202 123608810,1.06742,1.06725,0
20161202 123610089,1.0674,1.06722,0
20161202 123610457,1.06744,1.06726,0
20161202 123610740,1.06742,1.06724,0
20161202 123611341,1.06739,1.06723,0
20161202 123612138,1.06735,1.06718,0
20161202 123612769,1.06732,1.06714,0
20161202 123613269,1.06732,1.06714,0
20161202 123615648,1.06732,1.06716,0
20161202 123630425,1.0673,1.06713,0
20161202 123630622,1.06728,1.0671,0
20161202 123630946,1.06733,1.06715,0
20161202 123636327,1.06735,1.06717,0
20161202 123639988,1.06733,1.06715,0
20161202 123646992,1.0673,1.06713,0
20161202 123651548,1.06727,1.06711,0
20161202 123653961,1.06731,1.06712,0
20161202 123654274,1.06732,1.06715,0
20161202 123704461,1.06737,1.0672,0
20161202 123710689,1.06739,1.06722,0
20161202 123710842,1.06741,1.06725,0
20161202 123718712,1.06746,1.0673,0
20161202 123719525,1.06746,1.0673,0
20161202 123720025,1.06746,1.0673,0
20161202 123728644,1.06749,1.06732,0
20161202 123729877,1.06753,1.06738,0
20161202 123730024,1.06756,1.0674,0
20161202 123730717,1.06756,1.0674,0
20161202 123730844,1.06753,1.06737,0
20161202 123735705,1.06761,1.06744,0
20161202 123735924,1.06763,1.06747,0
20161202 123736973,1.0677,1.06751,0
20161202 123737435,1.06771,1.06755,0
20161202 123739172,1.06774,1.06757,0
20161202 123739971,1.06768,1.06752,0
20161202 123740808,1.06765,1.06751,0
20161202 123741111,1.06764,1.06747,0
20161202 123744733,1.06761,1.06744,0
20161202 123753471,1.06758,1.06742,0
20161202 123753724,1.06753,1.06737,0
20161202 123753791,1.06752,1.06734,0
20161202 123806458,1.06756,1.0674,0
20161202 123809892,1.06753,1.06738,0
20161202 123810279,1.06756,1.0674,0
20161202 123812228,1.06758,1.06743,0
20161202 123812332,1.06762,1.06744,0
20161202 123814664,1.06759,1.06743,0
20161202 123815028,1.06756,1.06741,0
20161202 123818009,1.06759,1.06743,0
20161202 123818319,1.06761,1.06746,0
20161202 123822349,1.06759,1.06743,0
20161202 123822510,1.06761,1.06745,0
20161202 123829628,1.0676,1.06742,0
20161202 123836350,1.06764,1.06745,0
20161202 123837690,1.06768,1.06748,0
20161202 123840326,1.06764,1.06749,0
20161202 123853430,1.06762,1.06747,0
20161202 123853506,1.0676,1.06744,0
20161202 123857728,1.06764,1.06746,0
20161202 123902848,1.0676,1.06744,0
20161202 123903290,1.06757,1.06742,0
20161202 123914115,1.06756,1.06739,0
20161202 123914646,1.06753,1.06737,0
20161202 123919681,1.06749,1.06732,0
20161202 123919875,1.06746,1.0673,0
20161202 123920258,1.0674,1.06725,0
20161202 123925455,1.06739,1.06721,0
20161202 123926936,1.0674,1.06724,0
20161202 123927196,1.06743,1.06727,0
20161202 123927568,1.06746,1.0673,0
20161202 123932264,1.06749,1.06731,0
20161202 123934548,1.06751,1.06735,0
20161202 123935898,1.06746,1.0673,0
20161202 123936160,1.06743,1.06727,0
20161202 123936339,1.06745,1.06729,0
20161202 123940227,1.06749,1.06732,0
20161202 123943410,1.06744,1.06727,0
20161202 123944240,1.06746,1.06729,0
20161202 123945284,1.06748,1.06733,0
20161202 123951205,1.06746,1.0673,0
20161202 124004616,1.06743,1.06727,0
20161202 124013708,1.06729,1.06713,0
20161202 124013795,1.06727,1.0671,0
20161202 124014113,1.06727,1.0671,0
20161202 124024340,1.06729,1.06713,0
20161202 124029911,1.0674,1.06716,0
20161202 124032955,1.0673,1.06713,0
20161202 124034858,1.06727,1.06707,0
20161202 124037550,1.06723,1.06706,0
20161202 124038455,1.06718,1.067,0
20161202 124039177,1.06721,1.06704,0
20161202 124039321,1.06724,1.06706,0
20161202 124042446,1.06721,1.06703,0
20161202 124042935,1.06721,1.06703,0
20161202 124043435,1.06721,1.06703,0
20161202 124050593,1.06727,1.06709,0
20161202 124054499,1.06733,1.06715,0
20161202 124054736,1.06741,1.06723,0
20161202 124054968,1.06743,1.06726,0
20161202 124055988,1.06742,1.06722,0
20161202 124100127,1.06738,1.06721,0
20161202 124145424,1.06733,1.06717,0
20161202 124145752,1.06736,1.06718,0
20161202 124145880,1.06737,1.06722,0
20161202 124149953,1.06735,1.06719,0
20161202 124150729,1.06728,1.06713,0
20161202 124152872,1.06726,1.0671,0
20161202 124153148,1.06731,1.06714,0
20161202 124155510,1.06726,1.0671,0
20161202 124159616,1.06729,1.06712,0
20161202 124201241,1.06724,1.06707,0
20161202 124201387,1.06719,1.06703,0
20161202 124201720,1.06724,1.06707,0
20161202 124207109,1.06722,1.06705,0
20161202 124209720,1.06719,1.06703,0
20161202 124210699,1.06722,1.06705,0
20161202 124219624,1.06725,1.06707,0
20161202 124228015,1.06721,1.06705,0
20161202 124236816,1.06726,1.06709,0
20161202 124239452,1.06729,1.06711,0
20161202 124239574,1.06731,1.06714,0
20161202 124239888,1.06728,1.06712,0
20161202 124244641,1.06723,1.06707,0
20161202 124248473,1.06721,1.06704,0
20161202 124251532,1.06724,1.06707,0
20161202 124252310,1.06726,1.06709,0
20161202 124300487,1.06729,1.06711,0
20161202 124300546,1.06731,1.06714,0
20161202 124309030,1.06729,1.06712,0
20161202 124316865,1.06723,1.06707,0
20161202 124317970,1.06717,1.06701,0
20161202 124318249,1.0672,1.06703,0
20161202 124318384,1.06722,1.06706,0
20161202 124319138,1.06729,1.06712,0
20161202 124319836,1.06727,1.06709,0
20161202 124334488,1.06717,1.06702,0
20161202 124334559,1.06715,1.06699,0
20161202 124336639,1.06718,1.06702,0
20161202 124336835,1.06722,1.06705,0
20161202 124346278,1.06727,1.06711,0
20161202 124347876,1.06723,1.06706,0
20161202 124349598,1.06726,1.06709,0
20161202 124355754,1.06721,1.06703,0
20161202 124358040,1.06719,1.06701,0
20161202 124358292,1.0671,1.06693,0
20161202 124358491,1.06707,1.06691,0
20161202 124358649,1.0671,1.06693,0
20161202 124358991,1.0671,1.06693,0
20161202 124400202,1.06707,1.06691,0
20161202 124400431,1.0671,1.06694,0
20161202 124400781,1.06708,1.06691,0
20161202 124400915,1.0671,1.06694,0
20161202 124407385,1.06712,1.06697,0
20161202 124409799,1.06716,1.06699,0
20161202 124411208,1.06713,1.06697,0
20161202 124412852,1.06716,1.067,0
20161202 124418726,1.06713,1.06698,0
20161202 124423465,1.06711,1.06695,0
20161202 124424928,1.06708,1.06692,0
20161202 124425188,1.06712,1.06695,0
20161202 124454490,1.0671,1.06695,0
20161202 124506522,1.06713,1.06698,0
20161202 124506608,1.06716,1.067,0
20161202 124511260,1.06722,1.06705,0
20161202 124511690,1.06722,1.06705,0
20161202 124512190,1.06722,1.06705,0
20161202 124515732,1.06727,1.06711,0
20161202 124518234,1.06722,1.06707,0
20161202 124528462,1.06717,1.06702,0
20161202 124534814,1.0672,1.06704,0
20161202 124537215,1.06723,1.06707,0
20161202 124537472,1.06721,1.06704,0
20161202 124542841,1.06723,1.06707,0
20161202 124549029,1.06717,1.06702,0
20161202 124551707,1.06715,1.067,0
20161202 124553316,1.06713,1.06697,0
20161202 124553627,1.06716,1.067,0
20161202 124555074,1.06713,1.06698,0
20161202 124555871,1.06716,1.067,0
